analysis_id,9ba60fkprxkz4c9
mouse_life_stage,Early adult
pvalue,0.8892746
parameter_id,MGP_PBI_011_001
gene_symbol,Bpifa3
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:1920638
mouse_strain,129SV
