gene_symbol,Galnt13
pvalue,0.217606
gene_accession_id,MGI:2139447
analysis_id,ha9l6zo7xhy2j47
mouse_life_stage,Middle aged adult
parameter_id,JAX_OFD_020_001
mouse_strain,C57BL
parameter_name,Distance travelled - total
