parameter_name,Sacral processes
gene_symbol,Nucks1
pvalue,0.5459442
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,mo7l7q3kpn5nn32
gene_accession_id,MGI:1934811
parameter_id,IMPC_XRY_066_001
