analysis_id,10xm80da9aar9nq
gene_accession_id,MGI:2444554
mouse_life_stage,E15.5
parameter_id,M-G-P_005_001_001
gene_symbol,Mapkap1
parameter_name,Weight
pvalue,0.2043731
mouse_strain,C57BL
