gene_symbol,Atg4c
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,q95bk00f5836wm8
gene_accession_id,MGI:2651854
parameter_name,LDL-cholesterol
pvalue,0.1245844
