gene_symbol,Rab22a
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
pvalue,0.3224039
mouse_strain,C57BL
analysis_id,hm379eem56vqnct
parameter_id,ESLIM_014_001_008
gene_accession_id,MGI:105072
