analysis_id,ashq719kj6dxqva
parameter_id,JAXLA_GRS_010_001
mouse_strain,B6J
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.42493
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
