parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
pvalue,0.724371
gene_symbol,Slc30a4
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,0n41840w6x5d06z
mouse_strain,C57BL
