gene_symbol,Serinc3
mouse_strain,C57BL
pvalue,0.5764739
parameter_name,Total T cell percentage
parameter_id,MGP_PBI_001_001
gene_accession_id,MGI:1349457
mouse_life_stage,Early adult
analysis_id,azn48awnszu672v
