gene_symbol,Mov10
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7011911
gene_accession_id,MGI:97054
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_IMM_011_001
analysis_id,bz8sw0a6v8zag02
