analysis_id,64gw434916di048
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
pvalue,0.5663644
parameter_name,Percent time in dark
gene_symbol,Bcs1l
