analysis_id,qpvfg6n8hjw7696
parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:104805
gene_symbol,Snrpb2
pvalue,0.1301608
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Lens Opacity
