analysis_id,yt4n614brdc20sh
gene_symbol,Steap3
parameter_id,JAX_LDT_002_001
parameter_name,Light side time spent
pvalue,0.816998
mouse_strain,C57BL
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
