analysis_id,sj2x11v8n779037
gene_symbol,Cisd2
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3763509
gene_accession_id,MGI:1914256
parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
