analysis_id,737s8pu932z7956
pvalue,0.9875649
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
mouse_life_stage,Early adult
