parameter_name,Corneal opacity
analysis_id,1ew28iho3m7jl75
mouse_life_stage,Early adult
pvalue,0.3705163
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
parameter_id,IMPC_EYE_008_001
mouse_strain,C57BL
