gene_symbol,Nemp2
pvalue,0.3015803
parameter_id,MGP_IMM_094_001
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
analysis_id,7i730c0h7380149
mouse_strain,C57BL
