analysis_id,gmai2m94wsqr3pj
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.7848644
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
