analysis_id,ad4618m4s43mr00
mouse_life_stage,Early adult
parameter_name,Hindlimb digit - size
mouse_strain,C57BL
gene_symbol,Extl1
parameter_id,IMPC_CSD_047_001
pvalue,1.176915
gene_accession_id,MGI:1888742
