gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
mouse_strain,C57BL
pvalue,0.4977419
analysis_id,gqij51ou6gmwhh3
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
parameter_id,JAX_OFD_020_001
