parameter_name,Red blood cell count
pvalue,0
parameter_id,IMPC_HEM_002_001
gene_accession_id,MGI:1915678
mouse_strain,C57BL
analysis_id,66v0k286618w76l
mouse_life_stage,Early adult
gene_symbol,Steap3
