gene_symbol,Mov10
pvalue,0.940263
mouse_strain,C57BL
parameter_id,ESLIM_011_001_010
gene_accession_id,MGI:97054
parameter_name,PP4 + pulse startle magnitude
analysis_id,y92192075h7pz6k
mouse_life_stage,Early adult
