parameter_name,White blood cell count
gene_accession_id,MGI:1346344
pvalue,0.5780342
mouse_strain,B6J
parameter_id,HMGULA_HEM_001_001
gene_symbol,Nr0b2
mouse_life_stage,Early adult
analysis_id,e8m4xg718z102sd
