analysis_id,8e222m53tr69n3r
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
parameter_name,Macrophages - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_121_001
pvalue,0.3117216
gene_symbol,Dnajc5b
