analysis_id,2726u86ldy37i90
pvalue,0.9742888
gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1914583
parameter_name,Hemoglobin
