analysis_id,51p5v8bfyt934h0
pvalue,0.9140063
parameter_name,Creatinine
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,HMGULA_CBC_005_001
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
