analysis_id,064pvvw7qml3404
parameter_name,Activity (body position)
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_id,IMPC_CSD_029_001
pvalue,0.9359967
gene_symbol,Ints7
