parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
gene_accession_id,MGI:3045306
gene_symbol,Exd1
analysis_id,21536p8r900fl57
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5202518
