parameter_name,White blood cell count
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:2385884
pvalue,0.7388838
parameter_id,HMGULA_HEM_001_001
gene_symbol,DDX27
analysis_id,7ag5u5j09asmc9e
