analysis_id,am757axyjo18y41
parameter_name,Tibia length
mouse_strain,C57BL
gene_symbol,Slc17a9
mouse_life_stage,Early adult
pvalue,0.289408
gene_accession_id,MGI:1919107
parameter_id,TCPLA_XRY_033_001
