analysis_id,j76a4ed3irgx4fc
mouse_strain,C57BL
parameter_name,Tremor
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
pvalue,0.8558844
