analysis_id,3wcc92k975c267w
pvalue,0.9531111
mouse_strain,129SV
parameter_id,MGP_MLN_093_001
gene_accession_id,MGI:99605
gene_symbol,Cntfr
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
