gene_symbol,Nanp
parameter_name,Total cholesterol
pvalue,0.9489806
gene_accession_id,MGI:1914561
parameter_id,HMGULA_CBC_015_001
mouse_strain,C57BL
mouse_life_stage,E18.5
analysis_id,g983u58j442m068
