gene_symbol,Rhbg
pvalue,0.7442423
mouse_strain,C57BL
analysis_id,6105xc2mw7e3i22
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
parameter_name,B cell number
