parameter_id,IMPC_GEP_017_001
analysis_id,96638gsh9397t69
mouse_life_stage,Early adult
pvalue,0.6153305
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
parameter_name,Facial Morphology
mouse_strain,C57BL
