gene_symbol,Inpp1
mouse_life_stage,Early adult
pvalue,0.1479874
gene_accession_id,MGI:104848
mouse_strain,129SV
analysis_id,wf2bp9xn63n4jrc
parameter_id,IMPC_ACS_006_001
parameter_name,Response amplitude - S
