parameter_name,Eosinophil percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Maco1
parameter_id,MGP_PBI_020_001
pvalue,0.8248249
analysis_id,qdom2d5sp4qq57i
gene_accession_id,MGI:1913396
