analysis_id,69f90x3h794r6f4
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
parameter_name,White blood cell-count
mouse_strain,C57BL
parameter_id,M-G-P_016_001_001
pvalue,0.4150743
