analysis_id,tt8rhs4se45ez79
mouse_life_stage,Late adult
gene_symbol,Frmpd1
parameter_id,IMPC_IMM_046_001
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.07854205
