analysis_id,030hn6n73u5991i
pvalue,0.4946529
gene_accession_id,MGI:2135738
gene_symbol,Abo
parameter_name,Tremor
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_030_001
mouse_strain,C57BL
