parameter_name,Distance travelled - total
pvalue,0.160186
analysis_id,m6s4s7m90858f0r
parameter_id,IMPC_OFD_020_001
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
