gene_symbol,Alkbh3
pvalue,0.0729899
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,w14dvk36816bm58
parameter_name,Coat colouration
gene_accession_id,MGI:1916363
