analysis_id,10c3osw7ll44ct6
gene_symbol,Opn3
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338022
parameter_id,MGP_IMM_112_001
parameter_name,Follicular B cells - % of CD45+
pvalue,0.7986067
