analysis_id,v608vw5g006b6k3
mouse_strain,C57BL
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
pvalue,0.835778
gene_symbol,Arpc2
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
