analysis_id,t127eko36hy01bn
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:2444554
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Mapkap1
pvalue,0.6693748
