analysis_id,p7z1434p20om6s9
mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_name,Lens
parameter_id,IMPC_EYE_016_001
gene_symbol,Cntfr
mouse_life_stage,Early adult
pvalue,0.5384919
