gene_symbol,Cdin1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.993484
parameter_name,PP4 + pulse startle magnitude
parameter_id,ESLIM_011_001_010
gene_accession_id,MGI:3026886
analysis_id,45w2s3w4axsc4z2
