analysis_id,13165gv2aukc4q6
parameter_name,Joints
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
pvalue,1.288792
gene_symbol,Snap23
mouse_strain,C57BL
parameter_id,IMPC_XRY_027_001
