gene_symbol,Ddx27
analysis_id,5j551kozk81m09z
pvalue,0.6366172
parameter_id,MGP_IMM_028_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2385884
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
