analysis_id,q0wd3k0z827p8x0
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Vocalization
gene_accession_id,MGI:2446274
pvalue,0.7936745
