parameter_id,JAX_SLW_013_001
pvalue,0.9049668
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
parameter_name,Breath rate during sleep mean
mouse_strain,C57BL
analysis_id,073mdlr024rfhn9
gene_symbol,Fgb
