gene_symbol,Zmynd19
analysis_id,5c87yv04a01zg8n
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.4775875
parameter_id,MGP_MLN_006_001
