parameter_name,Weight
analysis_id,x0y8336ku19wxnu
pvalue,0.5234858
parameter_id,M-G-P_005_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_strain,C57BL
