pvalue,0.8367786
analysis_id,9zt263f97z27e4t
mouse_strain,C57BL
gene_symbol,Ola1
parameter_id,IMPC_DXA_009_001
mouse_life_stage,E18.5
parameter_name,Fat/Body weight
gene_accession_id,MGI:1914309
