analysis_id,pnl01308jej6u5i
pvalue,0.4651621
gene_accession_id,MGI:1922745
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Morn5
parameter_id,MGP_IMM_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
