gene_symbol,Npbwr1
pvalue,0.5357855
parameter_name,Hindpaw - size
mouse_strain,C57BL
gene_accession_id,MGI:891989
analysis_id,p1ys482p9su4354
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Early adult
