parameter_id,IMPC_CBC_009_001
parameter_name,Calcium
mouse_life_stage,Early adult
gene_accession_id,MGI:99915
gene_symbol,Lamb3
analysis_id,737n3908vcuha40
pvalue,0.6523084
mouse_strain,C57BL
