parameter_id,JAXLA_CSD_077_001
mouse_strain,C56BL
gene_symbol,Inpp1
analysis_id,30wgne304c1s302
gene_accession_id,MGI:104848
pvalue,0.557119
parameter_name,Contact righting
mouse_life_stage,Early adult
