parameter_name,Alanine aminotransferase
gene_accession_id,MGI:1338032
pvalue,0.1250274
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,4g021b1w7afx293
gene_symbol,Sema6c
parameter_id,IMPC_CBC_013_001
