parameter_name,Body position
mouse_life_stage,Late adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
pvalue,1.403024
parameter_id,ESLIM_008_001_001
mouse_strain,C57BL
analysis_id,8z305n59125nhyj
