parameter_name,Lower teeth appearance
analysis_id,lv854ft01r89406
pvalue,0.4843956
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
gene_accession_id,MGI:2446274
