parameter_name,110dB startle magnitude
mouse_strain,C57BL
gene_symbol,Atrn
pvalue,0.08694687
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
analysis_id,626j6e6o73m478u
parameter_id,ESLIM_011_001_006
