gene_symbol,Arpc5l
pvalue,0.9649899
mouse_strain,C57BL
parameter_name,Placenta Size
analysis_id,7ul956o38083y87
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
parameter_id,IMPC_GPP_004_001
