analysis_id,64011d14l144mbx
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3142039
parameter_name,Snout size
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
parameter_id,MGP_CSD_067_001
